X,Y,device_id,Desc_,UpdateDate,UpdateTime,UTCoffset,linear_reference,Route,ImageName,ImageURL,VideoURL,ORG,latitude,longitude,Type,FID,REGION,RECORDED,COMMON_ID,FUNCTION
-10506144.2979348,5168746.94109443,59558372,RWIS - IA 4 MM 25 @ Jefferson,20260531,185928,-500,25.2033736948443,IA 4,R25: South View,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_25-03.jpg,,IADOT,42.051833,-94.3783,RWIS,510427,RWIS Cameras,E,RWIS_25,RWIS
-10506144.2979348,5168746.94109443,59558372,RWIS - IA 4 MM 25 @ Jefferson,20260531,185928,-500,25.2033736948443,IA 4,R25: IA 4 Bridge Approach,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_25-04.jpg,,IADOT,42.051833,-94.3783,RWIS,510428,RWIS Cameras,E,RWIS_25,RWIS
-10506144.2979348,5168746.94109443,59558372,RWIS - IA 4 MM 25 @ Jefferson,20260531,185928,-500,25.2033736948443,IA 4,R25: IA 4 Bridge,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_25-05.jpg,,IADOT,42.051833,-94.3783,RWIS,510429,RWIS Cameras,E,RWIS_25,RWIS
-10506144.2979348,5168746.94109443,59558372,RWIS - IA 4 MM 25 @ Jefferson,20260531,185928,-500,25.2033736948443,IA 4,R25: North View,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_25-06.jpg,,IADOT,42.051833,-94.3783,RWIS,510430,RWIS Cameras,E,RWIS_25,RWIS
-10506144.2979348,5168746.94109443,59558372,RWIS - IA 4 MM 25 @ Jefferson,20260531,185928,-500,25.2033736948443,IA 4,R25: North Zoom,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_25-07.jpg,,IADOT,42.051833,-94.3783,RWIS,510431,RWIS Cameras,E,RWIS_25,RWIS
-10200913.823905,5115258.47915596,59558373,IC - I-80 @ MM 238.8 (I-380 NB Flyover),20260531,185928,-500,238.811950067028,I-80,IC - I-80 @ MM 238.8 (I-380 NB Flyover),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/ictv39hd.jpeg,https://video3.iowadot.gov:8888/cedarrapids/ictv39lb/playlist.m3u8,IADOT,41.694045,-91.636368,Iowa DOT,510432,Iowa City,Y,ICTV39,General
-10179391.536194,5168463.15182186,59558374,D6 - US 151 @ MM 43.5 near Springville W ICWS QUAD (03Q),20260531,185928,-500,48.857964528343,US 151,Camera Snapshot snapshot,https://atmsqf.iowadot.gov/snapshots/Public/Rural/D6TV03Q.jpg,,IADOT,42.04994,-91.44303,Iowa DOT,510433,Other,E,D6TV03Q,ICWS
-10731637.0659873,5234604.85459779,59558376,SC - Gordon Dr @ Nebraska (19),20260531,185928,-500,,Gordon Dr,SC - Gordon Dr @ Nebraska (19),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/sctv19hd.jpeg,https://video2.iowadot.gov:8888/siouxcity/sctv19lb/playlist.m3u8,IADOT,42.489608,-96.403936,Iowa DOT,510434,Sioux City,Y,SCTV19,General
-10260600.8858396,5223085.61584014,59558377,WL - I-380 @ MM 62.2 (Poyner Rd),20260531,185928,-500,62.23271324975,I-380,WL - I-380 @ MM 62.2 (Poyner Rd),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/wltv15hd.jpeg,https://video4.iowadot.gov:8888/waterloo/wltv15lb/playlist.m3u8,IADOT,42.413256,-92.172546,Iowa DOT,510435,Waterloo,Y,WLTV15,General
-10419848.7607549,5108628.62733726,59558378,DM - I-35/80 @ MM 136.4,20260531,185928,-500,136.057671243586,I-80,DM - I-35/80 @ MM 136.4,https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/dmtv020hd.jpeg,https://video3.iowadot.gov:8888/ankeny/dmtv020lb/playlist.m3u8,IADOT,41.649558,-93.603094,Iowa DOT,510436,Des Moines,Y,DMTV020,General
-10635930.5790558,5232484.37597112,59558379,D3 - US 20 @ US 59 Holstein - Quad (D3TV01Q),20260531,185928,-500,139.258333468005,US 59,Camera Snapshot snapshot,https://atmsqf.iowadot.gov/snapshots/Public/Rural/D3TV01Q.jpg,,IADOT,42.47556,-95.54419,Iowa DOT,510437,Other,E,D3TV01Q,
-10723138.1568237,5230141.3539688,59558387,SC - US 20 @ MM 3.4 (Morningside Ave),20260531,185928,-500,3.41028189258066,US 20,SC - US 20 @ MM 3.4 (Morningside Ave),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/sctv17hd.jpeg,https://video2.iowadot.gov:8888/siouxcity/sctv17lb/playlist.m3u8,IADOT,42.460034,-96.327589,Iowa DOT,510438,Sioux City,Y,SCTV17,General
-10645499.7138039,5075882.46186576,59558388,I-80 @ MM 21.8,20260531,185928,-500,21.7774352842034,I-80,I-80 @ MM 21.8,https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/80tv022hd.jpeg,https://video3.iowadot.gov:8888/ankeny/80tv022lb/playlist.m3u8,IADOT,41.429377,-95.630151,Iowa DOT,510439,I-80,Y,80TV022,General
-10431031.5828415,5100205.56037205,59558392,DM - I-235 @ MM 4.3 (63rd St),20260531,185928,-500,4.27650960192235,I-235,DM - I-235 @ MM 4.3 (63rd St),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/dmtv015hd.jpeg,https://video3.iowadot.gov:8888/ankeny/dmtv015lb/playlist.m3u8,IADOT,41.592994,-93.703551,Iowa DOT,510440,Des Moines,Y,DMTV015,General
-10677464.9942657,5093733.79395209,59558380,RWIS - I-29 MM 76 @ Missouri Valley,20260531,185928,-500,75.8575162785714,I-29,R31: I-29 NB Bridge,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_31-00.jpg,,IADOT,41.5495,-95.9173,RWIS,510441,RWIS Cameras,E,RWIS_31,RWIS
-10677464.9942657,5093733.79395209,59558380,RWIS - I-29 MM 76 @ Missouri Valley,20260531,185928,-500,75.8575162785714,I-29,Camera Snapshot snapshot,https://atmsqf.iowadot.gov/snapshots/Public/RWIS/RWIS_31-01.jpg,,IADOT,41.5495,-95.9173,RWIS,510442,RWIS Cameras,E,RWIS_31,RWIS
-10677464.9942657,5093733.79395209,59558380,RWIS - I-29 MM 76 @ Missouri Valley,20260531,185928,-500,75.8575162785714,I-29,R31: US 30 WB,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_31-02.jpg,,IADOT,41.5495,-95.9173,RWIS,510443,RWIS Cameras,E,RWIS_31,RWIS
-10677464.9942657,5093733.79395209,59558380,RWIS - I-29 MM 76 @ Missouri Valley,20260531,185928,-500,75.8575162785714,I-29,R31: I-29 South,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_31-03.jpg,,IADOT,41.5495,-95.9173,RWIS,510444,RWIS Cameras,E,RWIS_31,RWIS
-10677464.9942657,5093733.79395209,59558380,RWIS - I-29 MM 76 @ Missouri Valley,20260531,185928,-500,75.8575162785714,I-29,R31: US 30 East,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_31-04.jpg,,IADOT,41.5495,-95.9173,RWIS,510445,RWIS Cameras,E,RWIS_31,RWIS
-10677464.9942657,5093733.79395209,59558380,RWIS - I-29 MM 76 @ Missouri Valley,20260531,185928,-500,75.8575162785714,I-29,R31: North View,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_31-05.jpg,,IADOT,41.5495,-95.9173,RWIS,510446,RWIS Cameras,E,RWIS_31,RWIS
-10640242.3168927,5085978.88829325,59558381,CB - I-80 @ MM 27.3 (I-880 Interchange),20260531,185928,-500,27.2708768378967,I-80,CB - I-80 @ MM 27.3 (I-880 Interchange),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/cbtv38hd.jpeg,https://video2.iowadot.gov:8888/councilbluffs/cbtv38lb/playlist.m3u8,IADOT,41.497344,-95.582923,Iowa DOT,510447,Council Bluffs,Y,CBTV38,General
-10404509.936799,5161913.61238307,59558382,NV - US 30 @ MM 156 (SW 4th St),20260531,185928,-500,156.001977600536,US 30,NV - US 30 @ MM 156 (SW 4th St),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/nvtv03hd.jpeg,https://video4.iowadot.gov:8888/ames/nvtv03lb/playlist.m3u8,IADOT,42.006236,-93.465303,Iowa DOT,510448,Ames/Boone/Nevada,Y,NVTV03,General
-10419505.5627648,5161853.68863851,59558383,1FG - US 30 @ MM 149.9 (IWZ 3718),20260531,185928,-500,149.043541225718,US 30,1FG - US 30 @ MM 149.9 (IWZ 3718),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/iwz3718lb.jpeg,https://video4.iowadot.gov:8888/ames/iwz3718lb/playlist.m3u8,IADOT,42.005836,-93.600011,Iowa DOT,510449,IWZ,Y,IWZ3718,IWZ
-10416168.5383893,5214273.71596601,59558393,D1 - I-35 @ MM 136 (300th St),20260531,185928,-500,136.011140186373,I-35,D1 - I-35 @ MM 136 (300th St),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/d1tv11hd.jpeg,https://video4.iowadot.gov:8888/ames/d1tv11lb/playlist.m3u8,IADOT,42.354786,-93.570034,Iowa DOT,510450,District 1,Y,D1TV11,General
-10276403.1328357,5062077.99644648,59558389,RWIS - IA 92 MM 199 @ Sigourney,20260531,185928,-500,197.394875889587,IA 92,R40: West View,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_40-00.jpg,,IADOT,41.336333,-92.3145,RWIS,510451,RWIS Cameras,E,RWIS_40,RWIS
-10276403.1328357,5062077.99644648,59558389,RWIS - IA 92 MM 199 @ Sigourney,20260531,185928,-500,197.394875889587,IA 92,R40: IA 92 Road,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_40-01.jpg,,IADOT,41.336333,-92.3145,RWIS,510452,RWIS Cameras,E,RWIS_40,RWIS
-10276403.1328357,5062077.99644648,59558389,RWIS - IA 92 MM 199 @ Sigourney,20260531,185928,-500,197.394875889587,IA 92,Camera Snapshot snapshot,https://atmsqf.iowadot.gov/snapshots/Public/RWIS/RWIS_40-02.jpg,,IADOT,41.336333,-92.3145,RWIS,510453,RWIS Cameras,E,RWIS_40,RWIS
